"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000089280",1724.01641918875,-0.171908248594311,0.0417079693802066,-4.12171225664834,3.76066748188573e-05,0.0091420265076986
"ENSG00000104824",1160.1471504737,-0.265343291970973,0.0625123080334728,-4.24465677749241,2.18928258110162e-05,0.0091420265076986
"ENSG00000150093",18516.6979334291,0.0923458353066629,0.021914601231332,4.21389530805759,2.51003668294939e-05,0.0091420265076986
"ENSG00000161016",6412.41638543834,-0.150040762584208,0.0369615145677881,-4.05937809472148,4.92035872319623e-05,0.0091420265076986
"ENSG00000169504",3749.57469791593,0.13977151139564,0.0340593948757232,4.10375791776811,4.0649281257687e-05,0.0091420265076986
"ENSG00000110321",6808.39081504892,0.0942656138384118,0.0267570186072187,3.52302381749588,0.000426653017112739,0.066060108816289
"ENSG00000051523",1975.37248027701,-0.187966209208221,0.0557814481051926,-3.3696903826117,0.00075252686750596,0.0752075293026952
"ENSG00000108107",3423.25231874162,-0.144661426153695,0.0431888644967744,-3.34950751401438,0.000809553598522015,0.0752075293026952
"ENSG00000160691",2813.55832647724,-0.11392853135281,0.033830339100347,-3.36764378905209,0.000758134807768506,0.0752075293026952
"ENSG00000213639",1305.01049227234,0.150827305438818,0.0440299959282721,3.42555801468902,0.000613537889772129,0.0752075293026952
"ENSG00000092841",4889.69790525497,-0.159179044534761,0.0487526688239551,-3.26503242539508,0.00109451546171353,0.0828080808770505
"ENSG00000125868",3200.83170451221,0.110461712275128,0.0336466273590029,3.28299508585284,0.00102710456117248,0.0828080808770505
"ENSG00000141526",3034.07958223232,-0.13960010768774,0.0429692547992533,-3.24883706594246,0.00115877831151954,0.0828080808770505
"ENSG00000060982",1129.12780083367,0.146693082263581,0.0486470356905294,3.01545778034197,0.00256591658835704,0.092173318501645
"ENSG00000100097",5983.58453110071,-0.144553824714525,0.0483120071899102,-2.99208898827774,0.0027707548399258,0.092173318501645
"ENSG00000100243",2992.52258315713,-0.104735351918406,0.0339258807803315,-3.0871815118541,0.00202064171525899,0.092173318501645
"ENSG00000113758",3242.04591757599,-0.109536940635722,0.0366895191002028,-2.9855103943054,0.00283105516377975,0.092173318501645
"ENSG00000123159",1502.41897593747,-0.157724410427278,0.0534942296890992,-2.94843782860226,0.00319384374071314,0.092173318501645
"ENSG00000125844",3129.90514554471,-0.111478410883921,0.0363582232763657,-3.06611272054062,0.0021686154246819,0.092173318501645
"ENSG00000128606",1508.27681625637,0.12720653455756,0.0423215589380053,3.00571476452223,0.00264957413749109,0.092173318501645
"ENSG00000135535",1493.38810057298,0.127476689966309,0.0435949127836239,2.92411847682821,0.00345433243050423,0.092173318501645
"ENSG00000136295",5110.71239231911,-0.115151927490962,0.0369815353845423,-3.113768162776,0.00184714568660778,0.092173318501645
"ENSG00000137309",8018.16045707955,-0.0782671759395985,0.0263430201827887,-2.97107831207352,0.00296756098512017,0.092173318501645
"ENSG00000139278",1576.04480471088,0.136874850425135,0.043042372366801,3.1800024696294,0.00147273797175951,0.092173318501645
"ENSG00000141959",1145.59577874454,-0.136627988881464,0.0451670894103589,-3.0249456111761,0.00248677842251345,0.092173318501645
"ENSG00000142541",9090.85807577043,-0.105546315413864,0.0360037999265332,-2.93153266125338,0.00337293896707036,0.092173318501645
"ENSG00000149273",5061.83524452489,-0.129470115432795,0.0416195303108191,-3.1108019351948,0.00186580040234162,0.092173318501645
"ENSG00000159335",1749.98871916262,-0.147756465085428,0.0496585857046078,-2.97544650112171,0.00292562375379198,0.092173318501645
"ENSG00000167468",1125.84399864447,-0.158451743413882,0.053907993948775,-2.93929956964171,0.0032895495523129,0.092173318501645
"ENSG00000170315",3350.35594584441,-0.114175268528766,0.0387349618234051,-2.94760245406456,0.00320248611776355,0.092173318501645
"ENSG00000184640",3357.67806296923,-0.100246545755691,0.0341963605644852,-2.93149750736348,0.00337332073345388,0.092173318501645
"ENSG00000196642",1094.31162744887,-0.152528651065306,0.0521916134419803,-2.92247434034335,0.00347262233321591,0.092173318501645
"ENSG00000197956",3880.55805650534,-0.208239964021188,0.068023988594602,-3.06127247642331,0.00220398426093418,0.092173318501645
"ENSG00000198467",2884.43068074754,-0.127467896147693,0.0412718186706607,-3.08849719380811,0.00201171593511555,0.092173318501645
"ENSG00000233276",1839.98468936353,-0.154529547739347,0.0490396433079442,-3.15111483925321,0.00162648525582539,0.092173318501645
"ENSG00000104368",4863.44699645186,-0.0961124856239742,0.0331641725764834,-2.89808182014247,0.00375452627552972,0.0930981290652856
"ENSG00000184216",1396.02224824245,-0.150134745146885,0.0516772186567451,-2.90524043378037,0.00366971084777504,0.0930981290652856
"ENSG00000185164",1287.75296514927,-0.138393674240425,0.0478269268810918,-2.8936350977453,0.00380810431052837,0.0930981290652856
"ENSG00000104852",1353.06568931734,-0.158490799653031,0.0551414298465219,-2.87425988216423,0.00404975578818026,0.0940555781804867
"ENSG00000185883",1712.21083983899,-0.120122188371184,0.041742748561998,-2.87767798023108,0.00400613852157641,0.0940555781804867
"ENSG00000136628",1161.0995476075,0.136317880414302,0.0477125522417206,2.85706536350625,0.00427577777543822,0.0952255227984733
"ENSG00000292234",9405.1560390926,-0.099946582822802,0.0350088749823909,-2.85489273428735,0.00430513666042613,0.0952255227984733
"ENSG00000038427",2984.02815918101,0.209347547980297,0.0739975232097333,2.82911560954462,0.00466768341648199,0.0963617309758171
"ENSG00000164924",6188.09872651816,0.0712597120342011,0.0251609030449871,2.83216035238443,0.00462346561795028,0.0963617309758171
"ENSG00000171345",3273.61839417187,-0.158706185758082,0.0560571941686967,-2.83114751124498,0.0046381324940203,0.0963617309758171
"ENSG00000105887",1817.8005431729,0.119580107123018,0.042700623477983,2.80043000272995,0.00510345742588203,0.0978740868375557
"ENSG00000137497",1083.03500150512,-0.144311512232405,0.0518402628039863,-2.78377277480368,0.00537306612348261,0.0978740868375557
"ENSG00000164741",1441.66862629588,0.135287286077924,0.0485955811755873,2.7839421364074,0.00537026137579234,0.0978740868375557
"ENSG00000167658",20718.4542547357,-0.0714909470255061,0.0254851083518506,-2.80520475088798,0.00502846260579046,0.0978740868375557
"ENSG00000176619",1611.34155218874,-0.125462676996475,0.04487452189475,-2.79585545871081,0.00517625448345029,0.0978740868375557
"ENSG00000204217",1176.74389757125,0.284409634090947,0.101707070844161,2.79636048634936,0.00516817189656488,0.0978740868375557
"ENSG00000164880",1497.52179875755,-0.116980565354742,0.0425507410697046,-2.74920159823092,0.00597406305379983,0.106728934172693
"ENSG00000105193",1813.02650193904,-0.157994788291065,0.0578641280373982,-2.73044446792582,0.00632489879633733,0.110864735505611
"ENSG00000152952",2159.93700151821,0.100288406155204,0.0369643287286826,2.71311314460271,0.00666543438901855,0.114670158285152
"ENSG00000140264",1471.78623804389,-0.149610202457564,0.0553528444759983,-2.70284578640647,0.00687486345756229,0.116122693674098
"ENSG00000130429",1947.90864918768,-0.114804048043743,0.04281695586976,-2.68127534318302,0.00733421417091213,0.119963652166661
"ENSG00000161671",1196.07195816727,-0.131661372857446,0.0491259688258778,-2.68007687184972,0.00736052548277682,0.119963652166661
"ENSG00000100403",1422.73078672642,-0.118506453608202,0.044559503323453,-2.65951020028154,0.00782543604084908,0.125341897964634
"ENSG00000018408",1456.62759658208,0.111141520650893,0.0424047956209141,2.62096583708277,0.00876810479552991,0.127501239731213
"ENSG00000072778",1459.5681904185,-0.125043998952368,0.0473523112795719,-2.64071585047028,0.00827310737274392,0.127501239731213
"ENSG00000113361",1251.25552843723,0.224507652031781,0.0856782026647085,2.62035903006002,0.00878372372744632,0.127501239731213
"ENSG00000138448",5919.39205699447,0.152793488022746,0.0579498807617045,2.6366488768294,0.00837294497347766,0.127501239731213
"ENSG00000170759",1872.99019653696,0.0983515908255625,0.037436117929122,2.62718455508053,0.00860946251353814,0.127501239731213
"ENSG00000179218",7291.48546131987,-0.0896638485137332,0.034074829257004,-2.63138071323726,0.00850387141627775,0.127501239731213
"ENSG00000108518",7082.55323626323,-0.104007601539527,0.0399949796283566,-2.60051642746145,0.00930835622581384,0.131022165663349
"ENSG00000136942",2061.3444531725,-0.179053332642171,0.0687329300324452,-2.60505892237751,0.00918584612860817,0.131022165663349
"ENSG00000156535",1137.0091595642,0.133148337786592,0.0516342200342595,2.57868401417214,0.00991774613499615,0.137516211334499
"ENSG00000119314",1318.39455467479,0.136769142544482,0.0533840471581871,2.56198527135286,0.0104075732069163,0.140083967364182
"ENSG00000135316",1162.61198856878,0.128051461267847,0.0501400043537186,2.55387814417592,0.0106530531801591,0.140083967364182
"ENSG00000135404",2803.36054173059,-0.126351471175618,0.0495078879804292,-2.55214828040261,0.0107060943841302,0.140083967364182
"ENSG00000188157",11967.5927465513,-0.0950503555174577,0.0371988388648468,-2.55519683995516,0.0106127763395258,0.140083967364182
"ENSG00000061676",1576.81413913345,0.115200332626088,0.0453325605805759,2.54122712572846,0.0110464135033192,0.140576960884706
"ENSG00000101160",1501.55497535534,-0.122909790034034,0.0483213137762515,-2.54359371525284,0.0109718620356686,0.140576960884706
"ENSG00000145907",1408.14466250892,0.127651856181187,0.0503681427187173,2.53437687575783,0.0112647506057525,0.141418288010056
"ENSG00000117298",3720.74094213501,-0.0860964045883714,0.0340539048845913,-2.5282388284149,0.0114636341330402,0.141996214794592
"ENSG00000169100",1702.43105315309,-0.115500409890188,0.0462253308695058,-2.49863890030871,0.0124671274397114,0.150415083006388
"ENSG00000292334",1702.43105315309,-0.115500409890188,0.0462253308695058,-2.49863890030871,0.0124671274397114,0.150415083006388
"ENSG00000107372",1318.55231911847,0.14790936879197,0.059405449685553,2.48982828300921,0.0127804827472636,0.152218826566768
"ENSG00000149948",1168.39140331127,0.134027859902878,0.0539454194336752,2.48450862575389,0.0129730365205695,0.152556340855811
"ENSG00000013364",2298.22591909411,-0.103625432799454,0.0417893536078505,-2.47970891753603,0.0131489675484408,0.152692385656268
"ENSG00000174903",1345.06724061731,-0.114731818731107,0.0464250778114363,-2.47133282570059,0.0134610472354148,0.154386578786424
"ENSG00000102024",2410.68275091206,0.0945482632034877,0.0386528089918235,2.44609035331658,0.0144414804343882,0.157836886159372
