	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000000003	123.18155	152.61315	146.92156	136.76619	131.41153	145.99974	110.38967	140.088	178.561
ENSG00000000005	0	0	0	0	0	0	0	0	0
ENSG00000000419	156.000227	161.46634	187.061116	189.42732	183.56308	203.073430010157	175.4672	199.42865	200.54984960065
ENSG00000000457	45.26429	50.07363	46.24855	56.39029	39.20405	54.05924	31.99407	52.20075	67.04822
ENSG00000000460	30.73571855	45.23372	37.75132	36.6096815	36.79594	45.9795299824	47.02734	58.79924	51.01863
ENSG00000000938	0	0	0	0	0	0	0	0	0
ENSG00000000971	112.81446108715	103.16694	106.19254	97.5364211817684	108.699384	121.2437	86.5476446	86.76698	111.2131
ENSG00000001036	418.98326	529.8816	510.82322	520.27082	544.8555	600.89	527.00004	546.9822	616.9577
ENSG00000001084	116.999974	138.16811	119.00027062552	111.000460058134	124.00008	125.01404735	94.00021	127	138.022217
ENSG00000001167	337	383.9999	390.9995	343.0005	366.0002	343.0005	321.9997	359.9996	428
ENSG00000001460	50.00497	41.00887	47.00114	48.00002	61.10324	53.00359	40.08975	58.01174	53.00005
ENSG00000001461	221.00027	214.5685	234.2021	262.26988	268.3033	299.00001	188.2748	283.29313	266.00067
ENSG00000001497	193.000093	233.999950020962	219.000020531535	233.24044	221.000012	224.000114620976	228.999652	259.99998614	291.999952335
ENSG00000001561	6	17	21	15	19	13	17	13	15
ENSG00000001617	445.00047	506.00023	536.00014	559	561.00011	602.99969	466.00043	595	595.00024
ENSG00000001626	1	1	2	2	2	0	1	3	3
ENSG00000001629	402.99953	451.99966	406.9997	466.00012	395	427.9945437	334.9998	420.00004	445.00045199197
ENSG00000001630	473.836	554.9997	512.05215	518.3835	555.99956	512.9745	525.41988	634.11695	552.0058
ENSG00000001631	120.029840167667	147.001031	112.999952775858	140.0000136	140.000053	149.649476624326	101.094535409412	138.99999083125	142.646464765541
ENSG00000002016	42.00004	38.000056	43.99999	60	36.0000500368212	51.99996	33	43.999948	45.99996
ENSG00000002079	17.00003	24	15.000026	18.000024	16.99999	28.00001	27.99997	18	22.999983
ENSG00000002330	130.95197	159.97435	148.99965	156.00007	185.9656	198.00047	156.0003	201.00027	170.99971
ENSG00000002549	261.0005	363.99969	416.99975	449.0005	369.00015	321.00008	327.99967	406.000419	384.99979
ENSG00000002586	782.000267	849.00003	894.50032363279	973.00005	931.999295	990.999948	916.4993912	1060.5005411768	1122.999939
ENSG00000002587	3	2	5.00059	2	8	2.019654	5	6	4.000004
ENSG00000002726	0	0	1	0	0	0	0	0	1
ENSG00000002745	0	0	0	0	0	0	2	2.000004	0
ENSG00000002746	0	0	0	0	0	1	0	0	0
ENSG00000002822	124.06394567	160.05813	152.96535	151.4439	185.999556678	172.00027	150.000102	186.99978	184.99953
ENSG00000002834	3172.58866	3378.00438	3416.27603	3669.01049	3702.89318	3674.64199	3319.0039	4030.99939	4390.51772
ENSG00000002919	133.00959	149.9999857	146.99998	154.00004	178.99998	138.14823	137.999972	172.00044	187.0057177371
ENSG00000002933	0	1	0	0	0	0	0	0	0
ENSG00000003056	651.53375	685.87735	681.92302	685.50672	676.104375	702.47388	624.70392	732.82006	820.6869
ENSG00000003096	91	85	105	106.00001	124	106	110	106.0001	115.99998
ENSG00000003137	7.000001	4	3	6	4	8	3	9.000001	10
ENSG00000003147	19.0000331	19.0000047792342	32.000018	38.999998	31.00002	28.999999	23	29.00003	25.99999644
ENSG00000003249	71	71	87	93.03041	112.00004	108.99989	83.00005	97.99997	104.00003202
