	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000000003	13.71702	14.1136	14.441672	11.91707	11.26528	13.58404	13.58499	9.95956	11.9893
ENSG00000000005	0	0	0	0	0	0	0	0	0
ENSG00000000419	60.3554159	55.269257	66.230025	61.602385	62.038515	67.50086700222	62.214923	62.243637	57.28128184803
ENSG00000000457	4.670308	3.957211	4.129507	4.730506	3.626812	5.0923	4.242988	4.859318	5.160576
ENSG00000000460	4.863878448	6.71346	4.872829	6.70931298	5.331917	8.37783168089	5.951594	8.991734	6.914189
ENSG00000000938	0	0	0	0	0	0	0	0	0
ENSG00000000971	10.605357250173	8.9112598	8.688791	7.96218411489198	10.8124441	10.836084	8.78951723	7.6748822	8.198532
ENSG00000001036	77.976438	96.6153	81.11101	72.025409	74.673214	76.5302	78.56502	78.5311	87.01428
ENSG00000001084	14.600466	11.068243	10.36308102419	9.69570300914593	13.7212411	13.20844052	16.090145	9.097557	12.583556
ENSG00000001167	22.01869	25.335	30.5225	22.75851	24.00832	24.1888	25.1581	20.82434	24.7605
ENSG00000001460	6.785991	4.692568	5.71372	6.937722	8.537732	8.673137	7.7314843	6.870078	5.951715
ENSG00000001461	16.48712	16.31074	16.579266	18.421197	21.01518	22.45399	13.04246	21.849189	19.357262
ENSG00000001497	28.75416051	27.8899624018064	26.8559630736099	27.035866	25.949822	26.3048847417922	30.0492681	29.545988031	29.4347465727
ENSG00000001561	0.436956	1.05882	1.34645	0.906792	1.17832	0.802207	1.14041	0.738415	0.804826
ENSG00000001617	62.10567	63.23893	70.77147	57.593115	65.05784	70.470256	61.205018	63.3443	58.78184
ENSG00000001626	0.0913541	0.106521	1.281691	0.794823	0.294181	0	0.755874	0.3000459	2.3203062
ENSG00000001629	28.55493	28.914553	20.742768	27.391225	17.654	20.7339281	23.135162	18.52982	23.295130265938
ENSG00000001630	61.39435	60.3691	56.904787	55.69862	59.90879	53.3209	63.780666	60.351536	50.95779
ENSG00000001631	10.9065261083184	12.9987063	12.6859031359709	12.87506213	12.7059435	12.6751377207406	11.9963013842154	10.6919953818661	10.3756631456647
ENSG00000002016	12.845445	13.494585	5.276223	12.545596	11.8012850046588	11.943302	8.77959	8.37782	8.445552
ENSG00000002079	1.510068	2.318194	2.002436	1.833106	1.019597	3.43918	2.67079	0.802794	1.666939
ENSG00000002330	77.15702	70.95185	68.01353	67.03697	80.7313	83.43088	77.33972	85.03604	65.47511
ENSG00000002549	49.29633	61.68342	71.46551	71.28054	63.84642	52.61683	58.62572	62.419504	54.70709
ENSG00000002586	294.538133	281.707246	297.11733568617	305.137969	298.232331	317.673462	312.6077322	317.06272537604	330.76654
ENSG00000002587	0.138634	0.0788472	0.203354	0.0767198	0.315008	1.1764996	0.212953	0.216049	1.118074
ENSG00000002726	0	0	0.270804	0	0	0	0	0	0.227049
ENSG00000002745	0	0	0	0	0	0	0.203735	0.262425	0
