Module	Section	Sample Name	Source
fastp	all_sections	SRR33468001	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/54/SRR33468001_fastp.json
fastp	all_sections	SRR33468005	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/44/SRR33468005_fastp.json
fastp	all_sections	SRR33468002	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/40/SRR33468002_fastp.json
fastp	all_sections	SRR33468004	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/38/SRR33468004_fastp.json
fastp	all_sections	SRR33468006	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/48/SRR33468006_fastp.json
fastp	all_sections	SRR33468003	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/46/SRR33468003_fastp.json
fastp	all_sections	SRR33467999	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/52/SRR33467999_fastp.json
fastp	all_sections	SRR33467998	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/42/SRR33467998_fastp.json
fastp	all_sections	SRR33468000	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/50/SRR33468000_fastp.json
FastQC	all_sections	SRR33467998	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/6/SRR33467998.sra_1_fastqc.zip
FastQC	all_sections	SRR33468003	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/28/SRR33468003.sra_2_fastqc.zip
FastQC	all_sections	SRR33468005	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/36/SRR33468005.sra_2_fastqc.zip
FastQC	all_sections	SRR33468004	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/10/SRR33468004.sra_1_fastqc.zip
FastQC	all_sections	SRR33468000	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/20/SRR33468000.sra_2_fastqc.zip
FastQC	all_sections	SRR33467999	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/14/SRR33467999.sra_1_fastqc.zip
FastQC	all_sections	SRR33468001	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/22/SRR33468001.sra_1_fastqc.zip
FastQC	all_sections	SRR33468002	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/2/SRR33468002.sra_1_fastqc.zip
FastQC	all_sections	SRR33468006	/home/farbod.moghaddam/masters/501/BIOF-501-Nextflow/work/7c/744f2ae1dfa3d1f9b922ec1c81260f/qc_data/30/SRR33468006.sra_1_fastqc.zip
