task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	51/9e63c3	38005970	CREATE_TX2GENE (1)	COMPLETED	0	2025-11-29 21:27:03.782	1m 7s	56.6s	94.3%	1.1 GB	1.2 GB	81.4 MB	6.3 MB
11	f3/0b6929	38005968	FASTQC (SRR33468002)	COMPLETED	0	2025-11-29 21:27:01.903	1m 39s	59.8s	199.3%	1.6 GB	6.8 GB	901.6 MB	2.6 MB
3	6e/c5f25e	38005972	FASTQC (SRR33467998)	COMPLETED	0	2025-11-29 21:27:03.929	1m 37s	54.7s	196.6%	1.6 GB	6.8 GB	798.9 MB	2.6 MB
14	18/4b9642	38005971	FASTQC (SRR33468004)	COMPLETED	0	2025-11-29 21:27:03.855	1m 37s	58.7s	199.2%	1.6 GB	6.8 GB	856.2 MB	2.6 MB
5	66/36ba65	38005966	FASTQC (SRR33467999)	COMPLETED	0	2025-11-29 21:27:01.602	1m 39s	1m 2s	198.4%	1.5 GB	7 GB	961.3 MB	2.6 MB
7	5c/1e0de9	38005977	FASTQC (SRR33468000)	COMPLETED	0	2025-11-29 21:27:04.365	2m 11s	1m 2s	196.9%	1.6 GB	7 GB	901.6 MB	2.6 MB
9	08/d52725	38005978	FASTQC (SRR33468001)	COMPLETED	0	2025-11-29 21:27:04.437	2m 11s	1m 10s	191.6%	1.7 GB	6.8 GB	929.4 MB	2.6 MB
12	20/dc8d89	38005981	FASTQC (SRR33468003)	COMPLETED	0	2025-11-29 21:27:04.653	2m 11s	1m 4s	195.9%	1.8 GB	6.9 GB	918.4 MB	2.6 MB
16	49/6e7da7	38005984	FASTQC (SRR33468005)	COMPLETED	0	2025-11-29 21:27:04.891	2m 11s	1m 13s	184.4%	1.5 GB	6.9 GB	1002.2 MB	2.6 MB
17	b5/27d1e2	38005983	FASTQC (SRR33468006)	COMPLETED	0	2025-11-29 21:27:04.819	2m 11s	1m 16s	181.4%	1.5 GB	7 GB	1 GB	2.6 MB
18	ab/2418a8	38005965	TRIM_READS (SRR33468004)	COMPLETED	0	2025-11-29 21:27:01.522	3m 9s	2m 50s	313.3%	1.4 GB	2 GB	866.9 MB	816.2 MB
13	bb/1187b4	38005969	TRIM_READS (SRR33468002)	COMPLETED	0	2025-11-29 21:27:03.690	3m 12s	2m 59s	335.3%	1.4 GB	2 GB	912.1 MB	861.4 MB
4	3d/cb5697	38005979	TRIM_READS (SRR33467998)	COMPLETED	0	2025-11-29 21:27:04.511	3m 11s	2m 37s	310.9%	1.4 GB	2 GB	809.4 MB	761.9 MB
19	31/c9d1db	38005967	TRIM_READS (SRR33468005)	COMPLETED	0	2025-11-29 21:27:01.815	4m 14s	3m 20s	339.7%	1.5 GB	2 GB	1012.9 MB	960.8 MB
15	b6/3a5b5b	38005974	TRIM_READS (SRR33468003)	COMPLETED	0	2025-11-29 21:27:04.143	4m 17s	3m	307.3%	1.4 GB	2 GB	929 MB	877.2 MB
20	01/bc0229	38005975	TRIM_READS (SRR33468006)	COMPLETED	0	2025-11-29 21:27:04.207	4m 16s	3m 27s	308.4%	1.5 GB	2 GB	1 GB	1002.7 MB
8	56/da468d	38005976	TRIM_READS (SRR33468000)	COMPLETED	0	2025-11-29 21:27:04.279	4m 16s	2m 57s	311.0%	1.4 GB	2 GB	912.1 MB	862.5 MB
6	83/795934	38005980	TRIM_READS (SRR33467999)	COMPLETED	0	2025-11-29 21:27:04.573	4m 16s	3m 11s	309.7%	1.4 GB	2 GB	972.3 MB	922.2 MB
10	58/a0957d	38005982	TRIM_READS (SRR33468001)	COMPLETED	0	2025-11-29 21:27:04.733	4m 17s	3m 6s	305.8%	1.4 GB	2 GB	939.9 MB	890.8 MB
2	90/85ea62	38005973	KALLISTO_INDEX (1)	COMPLETED	0	2025-11-29 21:27:04.037	5m 47s	5m 45s	99.1%	3 GB	3 GB	2 GB	686.6 MB
